act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
|---|---:|---:|---:|---:|---|---|---:|---:|---:|---:|---|
| 2 x 4 | 64 | 8 | 8 | 11.6 | 61 (r1) | 105 (16) | 21 | 1.9 | 12 | 45% | 3 / 5 |
| 2 x 6 | 64 | 8 | 12 | 7.8 | 61 (r1) | 101 (16) | 21 | 2.9 | 11 | 47% | 3 / 5 |
| 2 x 8 | 64 | 8 | 16 | 5.8 | 61 (r1) | 99 (16) | 20 | 3.7 | 10 | 52% | 3 / 5 |
| 4 x 2 | 64 | 1 | 8 | 11.6 | 63 (r0) | 125 (16) | 204 | 12.4 | -1 | 100% | 25 / 42 |
| 4 x 2 | 32 | 2 | 8 | 11.6 | 71 (r1) | 125 (16) | 102 | 6.2 | -3 | 100% | 11 / 21 |
| 4 x 2 | 64 | 2 | 8 | 11.6 | 48 (r1) | 125 (16) | 102 | 6.2 | 20 | 80% | 12 / 21 |
| 4 x 2 | 32 | 8 | 8 | 11.6 | 61 (r1) | 125 (16) | 26 | 1.5 | 12 | 53% | 3 / 5 |
| 4 x 2 | 64 | 8 | 8 | 11.6 | 38 (r1) | 125 (16) | 26 | 1.5 | 35 | 0% | 3 / 5 |
| 4 x 3 | 64 | 1 | 12 | 7.8 | 63 (r0) | 113 (16) | 185 | 16.8 | -5 | 100% | 25 / 42 |
| 4 x 3 | 32 | 2 | 12 | 7.8 | 71 (r1) | 113 (16) | 92 | 8.4 | -5 | 100% | 11 / 21 |
| 4 x 3 | 64 | 2 | 12 | 7.8 | 48 (r1) | 113 (16) | 92 | 8.4 | 18 | 80% | 12 / 21 |
| 4 x 3 | 32 | 8 | 12 | 7.8 | 61 (r1) | 113 (16) | 23 | 2.1 | 11 | 51% | 3 / 5 |
| 4 x 3 | 64 | 8 | 12 | 7.8 | 38 (r1) | 113 (16) | 23 | 2.1 | 35 | 0% | 3 / 5 |
| 4 x 4 | 64 | 1 | 16 | 5.8 | 62 (r1) | 107 (16) | 175 | 20.8 | -9 | 100% | 25 / 42 |
| 4 x 4 | 32 | 2 | 16 | 5.8 | 72 (r1) | 107 (16) | 87 | 10.4 | -8 | 100% | 11 / 21 |
| 4 x 4 | 64 | 2 | 16 | 5.8 | 48 (r1) | 107 (16) | 87 | 10.4 | 16 | 82% | 12 / 21 |
| 4 x 4 | 32 | 8 | 16 | 5.8 | 61 (r1) | 107 (16) | 22 | 2.6 | 11 | 51% | 3 / 5 |
| 4 x 4 | 64 | 8 | 16 | 5.8 | 38 (r1) | 107 (16) | 22 | 2.6 | 34 | 0% | 3 / 5 |
| 4 x 6 | 64 | 1 | 24 | 3.9 | 63 (r0) | 101 (16) | 165 | 28.1 | -16 | 100% | 25 / 42 |
| 4 x 6 | 32 | 2 | 24 | 3.9 | 71 (r1) | 101 (16) | 82 | 14.1 | -11 | 100% | 11 / 21 |
| 4 x 6 | 64 | 2 | 24 | 3.9 | 48 (r1) | 101 (16) | 82 | 14.1 | 12 | 85% | 12 / 21 |
