tok_embeddings.weight norm=1.5377819538e-01
layers.0._checkpoint_wrapped_module.delta_attention.A_log norm=2.3174760281e-04
layers.0._checkpoint_wrapped_module.delta_attention.dt_bias norm=1.5602182830e-03
layers.0._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=4.4267632067e-02
layers.0._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=4.4345982373e-02
layers.0._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=4.6272054315e-02
layers.0._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=4.3804556131e-02
layers.0._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=4.4169824570e-02
layers.0._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=4.5748382807e-02
layers.0._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=1.0893901810e-02
layers.0._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=1.0490807705e-02
layers.0._checkpoint_wrapped_module.delta_attention.beta.weight norm=1.2260577641e-02
layers.0._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=1.3033971190e-02
layers.0._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=1.0023579234e-03
layers.0._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=4.6476956457e-02
layers.0._checkpoint_wrapped_module.feed_forward.w13.weight norm=3.0909602642e+00
layers.0._checkpoint_wrapped_module.feed_forward.w2.weight norm=2.1645390987e+00
layers.0._checkpoint_wrapped_module.attention_norm.weight norm=1.6187195433e-03
layers.0._checkpoint_wrapped_module.ffn_norm.weight norm=6.1434995383e-02
layers.0._checkpoint_wrapped_module.ffn_res_norm.weight norm=4.5915212831e-04
layers.0._checkpoint_wrapped_module.ffn_res_proj.weight norm=2.3858286440e-02
layers.1._checkpoint_wrapped_module.delta_attention.A_log norm=1.8700245710e-04
layers.1._checkpoint_wrapped_module.delta_attention.dt_bias norm=1.1134380475e-03
layers.1._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=3.4297224134e-02
layers.1._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=3.4319464117e-02
layers.1._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=3.3435236663e-02
layers.1._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=3.3272732049e-02
layers.1._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=3.4580558538e-02
layers.1._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=3.3704183996e-02
layers.1._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=7.6535586268e-03
layers.1._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=7.7046407387e-03
layers.1._checkpoint_wrapped_module.delta_attention.beta.weight norm=9.3073919415e-03
layers.1._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=9.4370264560e-03
layers.1._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=5.2733067423e-04
layers.1._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=3.3273294568e-02
