| layout | V4 (09-24) | V4 + 81b30fd88 | then per_block | then open_copy | then hidden_out | per_block + open_copy | all three | report bound | tight |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 5060 probe PP8 x VP2, 32 layers, block 4 | 3.2 | 2.5 | 2.1 | 2.5 | 2.3 | 2.1 | 1.9 | 1.8 | 1.3 |
| H100 PP8 x VP4, 93 layers, block 12 | 43.1 | 38.9 | 36.3 | 28.7 | 35.5 | 24.9 | 21.5 | 20.9 | 17.4 |
| H100 PP16 x VP2 | 54.9 | 47.1 | 41.8 | 37.0 | 43.8 | 30.4 | 27.9 | 26.6 | 19.6 |
| GB300 PP4 x VP4 | 28.2 | 19.7 | 17.9 | 14.7 | 18.0 | 12.7 | 11.0 | 10.4 | 8.6 |
| GB300 PP2 x VP8 | 33.8 | 15.9 | 15.6 | 11.3 | 14.0 | 10.3 | 8.6 | 8.0 | 7.1 |

5060 probe PP8 x VP2, 32 layers, block 4, seq 3584, dim 2048 (block+hidden, GiB, modelled)
| rank | V4 | V4+81b | +per_block | +open_copy | +hidden_out | pb+oc | all3 | PR A | PR A+hidden | report | tight |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 2.4 | 2.0 | 1.9 | 1.8 | 1.7 | 1.7 | 1.4 | 1.3 | 1.0 | 1.2 | 0.8 |
| 1 | 2.6 | 2.3 | 2.1 | 2.3 | 2.0 | 2.1 | 1.8 | 1.7 | 1.4 | 1.7 | 1.2 |
| 2 | 2.6 | 2.3 | 2.0 | 2.3 | 2.0 | 2.0 | 1.8 | 1.5 | 1.4 | 1.5 | 1.1 |
| 3 | 2.8 | 2.5 | 2.1 | 2.5 | 2.3 | 2.1 | 1.9 | 1.7 | 1.4 | 1.7 | 1.3 |
| 4 | 2.9 | 2.4 | 2.0 | 2.4 | 2.2 | 2.0 | 1.9 | 1.6 | 1.4 | 1.6 | 1.2 |
| 5 | 2.9 | 2.4 | 2.1 | 2.4 | 2.2 | 2.1 | 1.9 | 1.7 | 1.5 | 1.8 | 1.3 |
| 6 | 3.2 | 2.1 | 2.0 | 2.1 | 2.0 | 2.0 | 1.8 | 1.5 | 1.4 | 1.6 | 1.2 |
| 7 | 3.1 | 2.0 | 1.9 | 2.0 | 1.8 | 1.9 | 1.8 | 1.6 | 1.5 | 1.6 | 1.3 |
| max | 3.2 | 2.5 | 2.1 | 2.5 | 2.3 | 2.1 | 1.9 | 1.7 | 1.5 | 1.8 | 1.3 |
| mean | 2.8 | 2.2 | 2.0 | 2.2 | 2.0 | 2.0 | 1.8 | 1.6 | 1.4 | 1.6 | 1.2 |

5060 PP8 x VP2, 46 layers, block 6, seq 2048, dim 2048 (block+hidden, GiB, modelled)
| rank | V4 | V4+81b | +per_block | +open_copy | +hidden_out | pb+oc | all3 | PR A | PR A+hidden | report | tight |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 1.6 | 1.4 | 1.4 | 1.0 | 1.2 | 1.0 | 0.8 | 0.7 | 0.6 | 0.7 | 0.5 |
| 1 | 1.3 | 1.1 | 1.0 | 1.1 | 1.0 | 1.0 | 0.9 | 0.8 | 0.6 | 0.8 | 0.6 |
| 2 | 1.8 | 1.7 | 1.5 | 1.3 | 1.5 | 1.1 | 0.9 | 0.9 | 0.7 | 0.9 | 0.6 |
| 3 | 1.5 | 1.3 | 1.0 | 1.3 | 1.1 | 1.0 | 1.0 | 0.8 | 0.7 | 0.8 | 0.5 |
| 4 | 1.9 | 1.7 | 1.5 | 1.3 | 1.6 | 1.1 | 1.0 | 0.9 | 0.8 | 0.9 | 0.7 |
| 5 | 1.7 | 1.2 | 1.1 | 1.2 | 1.1 | 1.1 | 1.0 | 0.8 | 0.8 | 0.8 | 0.6 |
| 6 | 2.0 | 1.5 | 1.5 | 1.2 | 1.5 | 1.1 | 1.0 | 0.9 | 0.8 | 0.9 | 0.7 |
| 7 | 1.9 | 1.1 | 1.0 | 1.1 | 1.0 | 1.0 | 1.0 | 0.8 | 0.7 | 0.9 | 0.6 |
| max | 2.0 | 1.7 | 1.5 | 1.3 | 1.6 | 1.1 | 1.0 | 0.9 | 0.8 | 0.9 | 0.7 |
| mean | 1.7 | 1.4 | 1.2 | 1.2 | 1.2 | 1.1 | 0.9 | 0.8 | 0.7 | 0.8 | 0.6 |

H100 PP8 x VP4, 93 layers, block 12 (block+hidden, GiB, modelled)
| rank | V4 | V4+81b | +per_block | +open_copy | +hidden_out | pb+oc | all3 | PR A | PR A+hidden | report | tight |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 41.0 | 36.4 | 36.0 | 25.2 | 32.2 | 23.1 | 18.8 | 19.7 | 15.4 | 18.2 | 14.8 |
| 1 | 31.3 | 26.8 | 24.3 | 26.8 | 22.8 | 24.3 | 20.3 | 20.9 | 17.0 | 19.2 | 15.9 |
| 2 | 30.8 | 26.4 | 23.4 | 26.4 | 22.5 | 23.4 | 19.9 | 20.0 | 16.5 | 18.6 | 15.2 |
| 3 | 30.4 | 25.9 | 22.5 | 25.9 | 22.3 | 22.5 | 19.5 | 19.1 | 16.1 | 17.9 | 14.5 |
| 4 | 43.1 | 38.9 | 36.3 | 28.7 | 35.5 | 24.9 | 21.5 | 21.4 | 18.0 | 20.9 | 17.4 |
| 5 | 33.9 | 28.5 | 24.4 | 28.5 | 25.4 | 24.4 | 21.2 | 20.9 | 17.7 | 20.2 | 16.7 |
| 6 | 33.8 | 28.1 | 23.5 | 28.1 | 25.2 | 23.5 | 20.6 | 20.0 | 17.1 | 19.6 | 16.1 |
| 7 | 33.8 | 27.7 | 22.6 | 27.7 | 24.9 | 22.6 | 19.9 | 19.1 | 16.4 | 18.9 | 15.4 |
| max | 43.1 | 38.9 | 36.3 | 28.7 | 35.5 | 24.9 | 21.5 | 21.4 | 18.0 | 20.9 | 17.4 |
| mean | 34.8 | 29.8 | 26.6 | 27.2 | 26.3 | 23.6 | 20.2 | 20.2 | 16.8 | 19.2 | 15.8 |

H100 PP16 x VP2 (block+hidden, GiB, modelled)
| rank | V4 | V4+81b | +per_block | +open_copy | +hidden_out | pb+oc | all3 | PR A | PR A+hidden | report | tight |
|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 0 | 44.7 | 39.0 | 38.2 | 27.3 | 33.9 | 26.5 | 21.3 | 19.9 | 14.8 | 20.5 | 13.8 |
| 1 | 38.1 | 30.7 | 29.1 | 30.7 | 25.8 | 29.1 | 24.5 | 22.4 | 17.8 | 22.9 | 16.5 |
| 2 | 37.6 | 30.3 | 27.8 | 30.3 | 25.6 | 27.8 | 24.1 | 21.2 | 17.4 | 21.8 | 15.9 |
| 3 | 37.2 | 29.9 | 26.5 | 29.9 | 25.4 | 26.5 | 23.6 | 20.3 | 17.0 | 20.7 | 15.2 |
| 4 | 51.8 | 45.9 | 41.8 | 34.3 | 41.7 | 30.2 | 25.9 | 23.4 | 19.1 | 24.8 | 17.8 |
| 5 | 41.7 | 34.2 | 29.2 | 34.2 | 30.2 | 29.2 | 27.1 | 22.4 | 20.3 | 23.7 | 16.7 |
| 6 | 41.2 | 33.8 | 28.2 | 33.8 | 30.0 | 28.2 | 26.5 | 21.5 | 19.7 | 22.6 | 15.6 |
