dp1                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2                  7.70979 7.66831 7.57164 7.42718 7.18487 6.79681 6.02037 5.35490 5.21851 4.81946 
pp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
cp2                    7.71397 7.66789 7.57671 7.42129 7.21796 6.77178 6.05751 5.34189 4.97946 4.83235 
tp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2_tp2_pp2          7.71698 7.66459 7.58378 7.43736 7.19898 6.83066 6.07856 5.36192 5.19774 4.77993 
fsdp2_tp2_cp2          7.70473 7.65695 7.56991 7.42215 7.17890 6.79573 6.00201 5.35303 5.23091 4.81847 
tp2_pp2_cp2            7.71097 7.67152 7.58110 7.43130 7.23202 6.79881 6.08862 5.33813 4.94923 4.79244 
fsdp2_pp2_cp2          7.71816 7.66829 7.58191 7.43201 7.19712 6.82028 6.04540 5.34646 5.17747 4.78055 
ep2_fsdp2              7.70979 7.66899 7.57129 7.42871 7.18878 6.79739 6.01733 5.35285 5.21938 4.81982 
ep2_fsdp2_tp2_pp2      7.71520 7.66923 7.57606 7.43903 7.19555 6.84424 6.09864 5.37422 5.20388 4.77659 
ep2_fsdp2_tp2_cp2      7.70863 7.66495 7.56630 7.42091 7.17441 6.78272 6.00676 5.35056 5.22239 4.81313 
ep2_fsdp2_pp2_cp2      7.71013 7.66489 7.57699 7.43517 7.19313 6.82494 6.05166 5.34537 5.18450 4.77555 
