dp1                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2                  7.70859 7.66722 7.57442 7.42620 7.18264 6.80355 6.01894 5.35463 5.21683 4.82457 
pp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
cp2                    7.71565 7.66891 7.57747 7.42634 7.23044 6.77667 6.06245 5.34820 4.98006 4.83398 
tp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2_tp2_pp2          7.71278 7.66698 7.58102 7.43267 7.19476 6.83281 6.08214 5.36444 5.19633 4.78698 
fsdp2_tp2_cp2          7.70703 7.65875 7.57238 7.42784 7.17554 6.79273 6.00320 5.35357 5.22724 4.82277 
tp2_pp2_cp2            7.71072 7.66911 7.58432 7.43427 7.22630 6.79352 6.09053 5.34180 4.95329 4.79567 
fsdp2_pp2_cp2          7.71627 7.66916 7.57164 7.43213 7.19563 6.82151 6.05155 5.35149 5.17882 4.78714 
ep2_fsdp2              7.70859 7.66741 7.57918 7.42790 7.18307 6.80292 6.02507 5.35765 5.21730 4.82502 
ep2_fsdp2_tp2_pp2      7.71653 7.66844 7.57956 7.44006 7.20328 6.84227 6.10246 5.37173 5.20122 4.78198 
ep2_fsdp2_tp2_cp2      7.70811 7.66454 7.56435 7.41553 7.17385 6.78815 6.01193 5.34840 5.22075 4.81979 
ep2_fsdp2_pp2_cp2      7.70963 7.66779 7.57323 7.43221 7.19986 6.81980 6.05631 5.35016 5.18489 4.78149 
