seed_c4_1024 rc=0
seed_c4_2048 rc=0
c4_pp2 rc=0 steps=200
c4_dp1_rev rc=0 steps=100
c4_dp1 rc=0 steps=100
c4_vp2c rc=0 steps=200
c4_vp2n rc=0 steps=200
c4_d2_dp2 rc=0 steps=200
c4_d2_ep2 rc=0 steps=200
c4_dp1_ns rc=0 steps=100
c4_d2_pp2 rc=0 steps=400
c4_d2_vp2c rc=0 steps=400
c4_d2_vp2n rc=0 steps=400

# c4, 1024 tokens per step (4 x 256), reference dp1
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4_dp1 | `12.609980` | `3.421960` | `3.022710` | `2.668690` | `2.536600` | `16.875000` | `5.062500` | `2.140600` | `1.460900` | `1.570300` |
| c4_dp1_rev | `12.609980` (bitwise) | `3.389450` (-0.95%) | `3.066510` (+1.45%) | `2.711100` (+1.59%) | `2.563570` (+1.06%) | `16.875000` (bitwise) | `4.687500` (-7.41%) | `2.953100` (+38%) | `1.414100` (-3.2%) | `1.679700` (+6.97%) |
| c4_dp1_ns | `12.609980` (bitwise) | `3.335430` (-2.53%) | `3.007030` (-0.519%) | `2.708880` (+1.51%) | `2.568440` (+1.26%) | `16.875000` (bitwise) | `3.281200` (-35.2%) | `2.531200` (+18.2%) | `1.773400` (+21.4%) | `1.554700` (-0.993%) |
| c4_pp2 | `12.609980` (bitwise) | `3.334370` (-2.56%) | `2.988620` (-1.13%) | `2.711350` (+1.6%) | `2.562870` (+1.04%) | `16.875000` (bitwise) | `3.296900` (-34.9%) | `2.218800` (+3.65%) | `1.609400` (+10.2%) | `1.531200` (-2.49%) |
| c4_vp2c | `12.609980` (bitwise) | `3.310030` (-3.27%) | `3.032070` (+0.31%) | `2.693930` (+0.946%) | `2.565810` (+1.15%) | `16.875000` (bitwise) | `3.281200` (-35.2%) | `2.937500` (+37.2%) | `1.632800` (+11.8%) | `1.578100` (+0.497%) |
| c4_vp2n | `12.609980` (bitwise) | `3.331430` (-2.65%) | `2.996710` (-0.86%) | `2.713300` (+1.67%) | `2.571170` (+1.36%) | `16.875000` (bitwise) | `3.312500` (-34.6%) | `2.406200` (+12.4%) | `1.757800` (+20.3%) | `1.554700` (-0.993%) |

# c4, 2048 tokens per step (4 x 256 per rank), reference dp2
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4_d2_dp2 | `12.580740` | `3.307830` | `2.930770` | `2.668280` | `2.426700` | `14.437500` | `4.531200` | `2.343800` | `1.812500` | `1.031200` |
| c4_d2_ep2 | `12.580740` (bitwise) | `3.269320` (-1.16%) | `2.966810` (+1.23%) | `2.657450` (-0.406%) | `2.420510` (-0.255%) | `14.437500` (bitwise) | `4.437500` (-2.07%) | `2.250000` (-4%) | `1.742200` (-3.88%) | `1.031200` (bitwise) |
| c4_d2_pp2 | `12.580740` (bitwise) | `3.607360` (+9.06%) | `2.978480` (+1.63%) | `2.677310` (+0.338%) | `2.431600` (+0.202%) | `14.437500` (bitwise) | `13.187500` (+191%) | `2.437500` (+4%) | `1.882800` (+3.88%) | `0.960900` (-6.82%) |
| c4_d2_vp2c | `12.580740` (bitwise) | `3.369740` (+1.87%) | `2.922550` (-0.28%) | `2.615530` (-1.98%) | `2.392360` (-1.42%) | `14.437500` (bitwise) | `5.625000` (+24.1%) | `2.203100` (-6%) | `1.703100` (-6.04%) | `1.023400` (-0.756%) |
| c4_d2_vp2n | `12.580740` (bitwise) | `3.687230` (+11.5%) | `2.973080` (+1.44%) | `2.671240` (+0.111%) | `2.416180` (-0.434%) | `14.437500` (bitwise) | `14.812500` (+227%) | `2.390600` (+2%) | `1.859400` (+2.59%) | `0.996100` (-3.4%) |
RUN-PP-C4-DONE
