seed_c4_256 rc=0
seed_c4_512 rc=0
c4r64_pp2 rc=0 steps=200
c4r64_dp1 rc=0 steps=100
c4r64_dp1_rev rc=0 steps=100
c4r64_vp2n rc=0 steps=200
c4r64_vp2c rc=0 steps=200
c4r64_pp4vp4c rc=0 steps=400
c4r64_pp4vp4n rc=0 steps=400
c4r64_d2_dp2 rc=0 steps=200
c4r64_d2_ep2 rc=0 steps=200
c4r64_dp1_ns rc=0 steps=100
c4r64_d2_pp2 rc=0 steps=400
c4r64_d2_vp2c rc=0 steps=400
c4r64_d2_vp2n rc=0 steps=400

# c4 (64-token rows), 256 tokens per step (4 x 64), reference dp1
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4r64_dp1 | `12.609530` | `3.613770` | `3.131460` | `3.000400` | `2.945480` | `23.000000` | `4.843800` | `2.671900` | `2.890600` | `2.718800` |
| c4r64_dp1_rev | `12.609530` (bitwise) | `3.858290` (+6.77%) | `3.216360` (+2.71%) | `3.038670` (+1.28%) | `2.975470` (+1.02%) | `23.000000` (bitwise) | `6.843800` (+41.3%) | `3.609400` (+35.1%) | `2.718800` (-5.94%) | `2.796900` (+2.87%) |
| c4r64_dp1_ns | `12.609530` (bitwise) | `3.762690` (+4.12%) | `3.175130` (+1.39%) | `3.013270` (+0.429%) | `2.971610` (+0.887%) | `23.000000` (bitwise) | `5.750000` (+18.7%) | `3.296900` (+23.4%) | `2.828100` (-2.16%) | `3.703100` (+36.2%) |
| c4r64_pp2 | `12.609530` (bitwise) | `3.615910` (+0.0592%) | `3.155410` (+0.765%) | `2.994500` (-0.197%) | `2.974220` (+0.976%) | `23.000000` (bitwise) | `4.062500` (-16.1%) | `2.906200` (+8.77%) | `2.750000` (-4.86%) | `2.703100` (-0.577%) |
| c4r64_vp2c | `12.609530` (bitwise) | `3.699230` (+2.36%) | `3.219300` (+2.81%) | `2.991460` (-0.298%) | `2.984240` (+1.32%) | `23.125000` (+0.543%) | `5.406200` (+11.6%) | `3.125000` (+17%) | `3.156200` (+9.19%) | `2.734400` (+0.574%) |
| c4r64_vp2n | `12.609530` (bitwise) | `3.677750` (+1.77%) | `3.135980` (+0.144%) | `2.993690` (-0.224%) | `2.964460` (+0.644%) | `23.125000` (+0.543%) | `6.875000` (+41.9%) | `2.921900` (+9.36%) | `2.734400` (-5.4%) | `2.703100` (-0.577%) |
| c4r64_pp4vp4c | `12.609530` (bitwise) | `3.727640` (+3.15%) | `3.155470` (+0.767%) | `2.978070` (-0.744%) | `2.979210` (+1.15%) | `23.125000` (+0.543%) | `5.656200` (+16.8%) | `2.750000` (+2.92%) | `2.625000` (-9.19%) | `2.796900` (+2.87%) |
| c4r64_pp4vp4n | `12.609530` (bitwise) | `3.633600` (+0.549%) | `3.138250` (+0.217%) | `3.000470` (+0.00233%) | `2.969780` (+0.825%) | `23.125000` (+0.543%) | `6.531200` (+34.8%) | `2.968800` (+11.1%) | `2.765600` (-4.32%) | `2.687500` (-1.15%) |

# c4 (64-token rows), 512 tokens per step (4 x 64 per rank), reference dp2
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4r64_d2_dp2 | `12.561020` | `3.472060` | `3.118920` | `2.852570` | `2.769830` | `17.750000` | `5.093800` | `3.093800` | `1.976600` | `1.828100` |
| c4r64_d2_ep2 | `12.561020` (bitwise) | `3.530360` (+1.68%) | `3.070140` (-1.56%) | `2.871480` (+0.663%) | `2.784240` (+0.52%) | `17.750000` (bitwise) | `9.750000` (+91.4%) | `2.640600` (-14.6%) | `1.906200` (-3.56%) | `1.851600` (+1.29%) |
| c4r64_d2_pp2 | `12.561020` (bitwise) | `3.396660` (-2.17%) | `3.101380` (-0.562%) | `2.871130` (+0.651%) | `2.757890` (-0.431%) | `17.750000` (bitwise) | `4.000000` (-21.5%) | `2.812500` (-9.09%) | `1.882800` (-4.75%) | `1.804700` (-1.28%) |
| c4r64_d2_vp2c | `12.561020` (bitwise) | `3.375700` (-2.78%) | `3.137850` (+0.607%) | `2.897210` (+1.56%) | `2.784070` (+0.514%) | `17.750000` (bitwise) | `3.468800` (-31.9%) | `3.187500` (+3.03%) | `1.906200` (-3.56%) | `1.890600` (+3.42%) |
| c4r64_d2_vp2n | `12.561020` (bitwise) | `3.397980` (-2.13%) | `3.093210` (-0.824%) | `2.853640` (+0.0375%) | `2.761010` (-0.318%) | `17.750000` (bitwise) | `3.984400` (-21.8%) | `2.796900` (-9.6%) | `2.062500` (+4.35%) | `1.804700` (-1.28%) |
RUN-PP-C4-256-DONE
