c4_d2_dp2_ns rc=0 steps=200
c4_d2_dp2_rev rc=0 steps=200
c4_d2_pp2_again rc=0 steps=400

# c4, 2048 tokens per step, reference dp2
| cell | step 1 | step 5 | step 7 | step 8 | step 10 | step 12 | step 20 | step 50 | step 100 | step 1 | step 5 | step 7 | step 8 | step 10 | step 12 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| c4_d2_dp2 | `12.580740` | `5.004220` | `3.933570` | `3.715160` | `3.307830` | `3.353560` | `2.930770` | `2.668280` | `2.426700` | `14.437500` | `6.687500` | `6.187500` | `11.187500` | `4.531200` | `4.312500` | `2.343800` | `1.812500` | `1.031200` |
| c4_d2_dp2_rev | `12.580740` (bitwise) | `5.116480` (+2.24%) | `4.478650` (+13.9%) | `4.000730` (+7.69%) | `3.588150` (+8.47%) | `3.493950` (+4.19%) | `2.960280` (+1.01%) | `2.681040` (+0.478%) | `2.437380` (+0.44%) | `14.437500` (bitwise) | `8.250000` (+23.4%) | `5.343800` (-13.6%) | `5.750000` (-48.6%) | `12.125000` (+168%) | `4.312500` (bitwise) | `2.265600` (-3.34%) | `1.843800` (+1.73%) | `0.976600` (-5.29%) |
| c4_d2_dp2_ns | `12.580740` (bitwise) | `5.006090` (+0.0374%) | `4.457710` (+13.3%) | `4.067880` (+9.49%) | `3.663490` (+10.8%) | `3.518810` (+4.93%) | `2.974910` (+1.51%) | `2.678790` (+0.394%) | `2.443230` (+0.681%) | `14.437500` (bitwise) | `8.562500` (+28%) | `6.218800` (+0.506%) | `5.781200` (-48.3%) | `14.187500` (+213%) | `4.812500` (+11.6%) | `2.421900` (+3.33%) | `1.765600` (-2.59%) | `1.031200` (bitwise) |
| c4_d2_ep2 | `12.580740` (bitwise) | `5.188750` (+3.69%) | `4.039830` (+2.7%) | `3.667500` (-1.28%) | `3.269320` (-1.16%) | `3.335370` (-0.542%) | `2.966810` (+1.23%) | `2.657450` (-0.406%) | `2.420510` (-0.255%) | `14.437500` (bitwise) | `8.062500` (+20.6%) | `5.781200` (-6.57%) | `6.468800` (-42.2%) | `4.437500` (-2.07%) | `3.156200` (-26.8%) | `2.250000` (-4%) | `1.742200` (-3.88%) | `1.031200` (bitwise) |
| c4_d2_pp2 | `12.580740` (bitwise) | `5.005580` (+0.0272%) | `4.455540` (+13.3%) | `4.042950` (+8.82%) | `3.607360` (+9.06%) | `3.492530` (+4.14%) | `2.978480` (+1.63%) | `2.677310` (+0.338%) | `2.431600` (+0.202%) | `14.437500` (bitwise) | `8.625000` (+29%) | `6.250000` (+1.01%) | `5.812500` (-48%) | `13.187500` (+191%) | `4.562500` (+5.8%) | `2.437500` (+4%) | `1.882800` (+3.88%) | `0.960900` (-6.82%) |
| c4_d2_pp2_again | `12.580740` (bitwise) | `5.005580` (+0.0272%) | `4.455540` (+13.3%) | `4.042950` (+8.82%) | `3.607360` (+9.06%) | `3.492530` (+4.14%) | `2.978480` (+1.63%) | `2.677310` (+0.338%) | `2.431600` (+0.202%) | `14.437500` (bitwise) | `8.625000` (+29%) | `6.250000` (+1.01%) | `5.812500` (-48%) | `13.187500` (+191%) | `4.562500` (+5.8%) | `2.437500` (+4%) | `1.882800` (+3.88%) | `0.960900` (-6.82%) |
| c4_d2_vp2c | `12.580740` (bitwise) | `5.271750` (+5.35%) | `4.172230` (+6.07%) | `3.725220` (+0.271%) | `3.369740` (+1.87%) | `3.285610` (-2.03%) | `2.922550` (-0.28%) | `2.615530` (-1.98%) | `2.392360` (-1.42%) | `14.437500` (bitwise) | `11.687500` (+74.8%) | `7.187500` (+16.2%) | `5.218800` (-53.4%) | `5.625000` (+24.1%) | `2.656200` (-38.4%) | `2.203100` (-6%) | `1.703100` (-6.04%) | `1.023400` (-0.756%) |
| c4_d2_vp2n | `12.580740` (bitwise) | `4.979480` (-0.494%) | `4.495190` (+14.3%) | `4.015760` (+8.09%) | `3.687230` (+11.5%) | `3.554550` (+5.99%) | `2.973080` (+1.44%) | `2.671240` (+0.111%) | `2.416180` (-0.434%) | `14.437500` (bitwise) | `8.625000` (+29%) | `6.062500` (-2.02%) | `5.843800` (-47.8%) | `14.812500` (+227%) | `5.156200` (+19.6%) | `2.390600` (+2%) | `1.859400` (+2.59%) | `0.996100` (-3.4%) |

# the same, reference dp2 no-sync (fp32 accumulation, as the pipeline cells)
| cell | step 1 | step 5 | step 7 | step 8 | step 10 | step 12 | step 20 | step 50 | step 100 | step 1 | step 5 | step 7 | step 8 | step 10 | step 12 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| c4_d2_dp2_ns | `12.580740` | `5.006090` | `4.457710` | `4.067880` | `3.663490` | `3.518810` | `2.974910` | `2.678790` | `2.443230` | `14.437500` | `8.562500` | `6.218800` | `5.781200` | `14.187500` | `4.812500` | `2.421900` | `1.765600` | `1.031200` |
| c4_d2_pp2 | `12.580740` (bitwise) | `5.005580` (-0.0102%) | `4.455540` (-0.0487%) | `4.042950` (-0.613%) | `3.607360` (-1.53%) | `3.492530` (-0.747%) | `2.978480` (+0.12%) | `2.677310` (-0.0552%) | `2.431600` (-0.476%) | `14.437500` (bitwise) | `8.625000` (+0.73%) | `6.250000` (+0.502%) | `5.812500` (+0.541%) | `13.187500` (-7.05%) | `4.562500` (-5.19%) | `2.437500` (+0.644%) | `1.882800` (+6.64%) | `0.960900` (-6.82%) |
| c4_d2_pp2_again | `12.580740` (bitwise) | `5.005580` (-0.0102%) | `4.455540` (-0.0487%) | `4.042950` (-0.613%) | `3.607360` (-1.53%) | `3.492530` (-0.747%) | `2.978480` (+0.12%) | `2.677310` (-0.0552%) | `2.431600` (-0.476%) | `14.437500` (bitwise) | `8.625000` (+0.73%) | `6.250000` (+0.502%) | `5.812500` (+0.541%) | `13.187500` (-7.05%) | `4.562500` (-5.19%) | `2.437500` (+0.644%) | `1.882800` (+6.64%) | `0.960900` (-6.82%) |
| c4_d2_vp2c | `12.580740` (bitwise) | `5.271750` (+5.31%) | `4.172230` (-6.4%) | `3.725220` (-8.42%) | `3.369740` (-8.02%) | `3.285610` (-6.63%) | `2.922550` (-1.76%) | `2.615530` (-2.36%) | `2.392360` (-2.08%) | `14.437500` (bitwise) | `11.687500` (+36.5%) | `7.187500` (+15.6%) | `5.218800` (-9.73%) | `5.625000` (-60.4%) | `2.656200` (-44.8%) | `2.203100` (-9.03%) | `1.703100` (-3.54%) | `1.023400` (-0.756%) |
| c4_d2_vp2n | `12.580740` (bitwise) | `4.979480` (-0.532%) | `4.495190` (+0.841%) | `4.015760` (-1.28%) | `3.687230` (+0.648%) | `3.554550` (+1.02%) | `2.973080` (-0.0615%) | `2.671240` (-0.282%) | `2.416180` (-1.11%) | `14.437500` (bitwise) | `8.625000` (+0.73%) | `6.062500` (-2.51%) | `5.843800` (+1.08%) | `14.812500` (+4.41%) | `5.156200` (+7.14%) | `2.390600` (-1.29%) | `1.859400` (+5.31%) | `0.996100` (-3.4%) |
RUN-PP-C4-D2-EXTRA-DONE
