c4_pp4vp4c rc=0 steps=400
c4_pp4vp4n rc=0 steps=400

# c4, 1024 tokens per step (4 x 256), reference dp1
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4_dp1 | `12.609980` | `3.421960` | `3.022710` | `2.668690` | `2.536600` | `16.875000` | `5.062500` | `2.140600` | `1.460900` | `1.570300` |
| c4_dp1_rev | `12.609980` (bitwise) | `3.389450` (-0.95%) | `3.066510` (+1.45%) | `2.711100` (+1.59%) | `2.563570` (+1.06%) | `16.875000` (bitwise) | `4.687500` (-7.41%) | `2.953100` (+38%) | `1.414100` (-3.2%) | `1.679700` (+6.97%) |
| c4_dp1_ns | `12.609980` (bitwise) | `3.335430` (-2.53%) | `3.007030` (-0.519%) | `2.708880` (+1.51%) | `2.568440` (+1.26%) | `16.875000` (bitwise) | `3.281200` (-35.2%) | `2.531200` (+18.2%) | `1.773400` (+21.4%) | `1.554700` (-0.993%) |
| c4_pp2 | `12.609980` (bitwise) | `3.334370` (-2.56%) | `2.988620` (-1.13%) | `2.711350` (+1.6%) | `2.562870` (+1.04%) | `16.875000` (bitwise) | `3.296900` (-34.9%) | `2.218800` (+3.65%) | `1.609400` (+10.2%) | `1.531200` (-2.49%) |
| c4_vp2c | `12.609980` (bitwise) | `3.310030` (-3.27%) | `3.032070` (+0.31%) | `2.693930` (+0.946%) | `2.565810` (+1.15%) | `16.875000` (bitwise) | `3.281200` (-35.2%) | `2.937500` (+37.2%) | `1.632800` (+11.8%) | `1.578100` (+0.497%) |
| c4_vp2n | `12.609980` (bitwise) | `3.331430` (-2.65%) | `2.996710` (-0.86%) | `2.713300` (+1.67%) | `2.571170` (+1.36%) | `16.875000` (bitwise) | `3.312500` (-34.6%) | `2.406200` (+12.4%) | `1.757800` (+20.3%) | `1.554700` (-0.993%) |
| c4_pp4vp4c | `12.609980` (bitwise) | `3.528470` (+3.11%) | `3.059910` (+1.23%) | `2.722820` (+2.03%) | `2.571010` (+1.36%) | `16.875000` (bitwise) | `10.000000` (+97.5%) | `2.750000` (+28.5%) | `1.671900` (+14.4%) | `1.609400` (+2.49%) |
| c4_pp4vp4n | `12.609980` (bitwise) | `3.334860` (-2.55%) | `2.995440` (-0.902%) | `2.704290` (+1.33%) | `2.565350` (+1.13%) | `16.875000` (bitwise) | `3.265600` (-35.5%) | `2.421900` (+13.1%) | `1.742200` (+19.3%) | `1.539100` (-1.99%) |

# the same, reference dp1 no-sync (fp32 accumulation, as the pipeline cells)
| cell | step 1 | step 10 | step 20 | step 50 | step 100 | step 1 | step 10 | step 20 | step 50 | step 100 (grad norm) |
|---|---|---|---|---|---|---|---|---|---|---|
| c4_dp1_ns | `12.609980` | `3.335430` | `3.007030` | `2.708880` | `2.568440` | `16.875000` | `3.281200` | `2.531200` | `1.773400` | `1.554700` |
| c4_pp2 | `12.609980` (bitwise) | `3.334370` (-0.0318%) | `2.988620` (-0.612%) | `2.711350` (+0.0912%) | `2.562870` (-0.217%) | `16.875000` (bitwise) | `3.296900` (+0.478%) | `2.218800` (-12.3%) | `1.609400` (-9.25%) | `1.531200` (-1.51%) |
| c4_vp2c | `12.609980` (bitwise) | `3.310030` (-0.762%) | `3.032070` (+0.833%) | `2.693930` (-0.552%) | `2.565810` (-0.102%) | `16.875000` (bitwise) | `3.281200` (bitwise) | `2.937500` (+16.1%) | `1.632800` (-7.93%) | `1.578100` (+1.51%) |
| c4_vp2n | `12.609980` (bitwise) | `3.331430` (-0.12%) | `2.996710` (-0.343%) | `2.713300` (+0.163%) | `2.571170` (+0.106%) | `16.875000` (bitwise) | `3.312500` (+0.954%) | `2.406200` (-4.94%) | `1.757800` (-0.88%) | `1.554700` (bitwise) |
| c4_pp4vp4c | `12.609980` (bitwise) | `3.528470` (+5.79%) | `3.059910` (+1.76%) | `2.722820` (+0.515%) | `2.571010` (+0.1%) | `16.875000` (bitwise) | `10.000000` (+205%) | `2.750000` (+8.64%) | `1.671900` (-5.72%) | `1.609400` (+3.52%) |
| c4_pp4vp4n | `12.609980` (bitwise) | `3.334860` (-0.0171%) | `2.995440` (-0.385%) | `2.704290` (-0.169%) | `2.565350` (-0.12%) | `16.875000` (bitwise) | `3.265600` (-0.475%) | `2.421900` (-4.32%) | `1.742200` (-1.76%) | `1.539100` (-1%) |
RUN-PP-C4-PP4VP4-DONE
