d2_dp2 rc=0 steps=200
d2_ep2 rc=0 steps=200
d2_dp2_ns rc=0 steps=200
d2_dp2_rev rc=0 steps=200
d2_pp2 rc=0 steps=400
d2_vp2c rc=0 steps=400
d2_vp2n rc=0 steps=400

# dp2 stream, cc12m-test, 2048 tokens per step (4 x 256 per rank), reference dp2
| cell | step 1 | step 10 | step 100 | step 1 | step 10 | step 100 (grad norm) |
|---|---|---|---|---|---|---|
| d2_dp2 | `12.521140` | `3.221120` | `0.105570` | `16.375000` | `7.062500` | `0.437500` |
| d2_dp2_ns | `12.521140` (bitwise) | `3.404180` (+5.68%) | `0.100860` (-4.46%) | `16.375000` (bitwise) | `4.500000` (-36.3%) | `0.382800` (-12.5%) |
| d2_dp2_rev | `12.536300` (+0.121%) | `3.324990` (+3.22%) | `0.101150` (-4.19%) | `16.500000` (+0.763%) | `5.125000` (-27.4%) | `0.371100` (-15.2%) |
| d2_ep2 | `12.521140` (bitwise) | `3.149310` (-2.23%) | `0.098880` (-6.34%) | `16.375000` (bitwise) | `5.062500` (-28.3%) | `0.361300` (-17.4%) |
| d2_pp2 | `12.521140` (bitwise) | `3.201920` (-0.596%) | `0.102030` (-3.35%) | `16.375000` (bitwise) | `5.000000` (-29.2%) | `0.459000` (+4.91%) |
| d2_vp2c | `12.521140` (bitwise) | `3.205680` (-0.479%) | `0.098370` (-6.82%) | `16.375000` (bitwise) | `5.375000` (-23.9%) | `0.388700` (-11.2%) |
| d2_vp2n | `12.521140` (bitwise) | `3.189240` (-0.99%) | `0.104510` (-1%) | `16.375000` (bitwise) | `5.593800` (-20.8%) | `0.361300` (-17.4%) |

# the pipeline cells against dp2 accumulating like the pipeline
| cell | step 1 | step 10 | step 100 | step 1 | step 10 | step 100 (grad norm) |
|---|---|---|---|---|---|---|
| d2_dp2_ns | `12.521140` | `3.404180` | `0.100860` | `16.375000` | `4.500000` | `0.382800` |
| d2_pp2 | `12.521140` (bitwise) | `3.201920` (-5.94%) | `0.102030` (+1.16%) | `16.375000` (bitwise) | `5.000000` (+11.1%) | `0.459000` (+19.9%) |
| d2_vp2c | `12.521140` (bitwise) | `3.205680` (-5.83%) | `0.098370` (-2.47%) | `16.375000` (bitwise) | `5.375000` (+19.4%) | `0.388700` (+1.54%) |
| d2_vp2n | `12.521140` (bitwise) | `3.189240` (-6.31%) | `0.104510` (+3.62%) | `16.375000` (bitwise) | `5.593800` (+24.3%) | `0.361300` (-5.62%) |
RUN-PP-DP2-DONE
