ka_pp2 rc=0 steps=200
ka_dp1_ns rc=0 steps=100
ka_dp1 rc=0 steps=100
ka_vp2n rc=0 steps=200
ka_vp2c rc=0 steps=200

# KDA autotune off, cc12m-test, 1024 tokens per step (4 x 256), reference dp1
| cell | step 1 | step 10 | step 100 | step 1 | step 10 | step 100 (grad norm) |
|---|---|---|---|---|---|---|
| ka_dp1 | `12.605700` | `3.114620` | `0.189940` | `18.625000` | `5.437500` | `4.250000` |
| ka_dp1_ns | `12.605700` (bitwise) | `3.234660` (+3.85%) | `0.180650` (-4.89%) | `18.625000` (bitwise) | `4.843800` (-10.9%) | `0.910200` (-78.6%) |
| ka_pp2 | `12.605700` (bitwise) | `3.227050` (+3.61%) | `0.208850` (+9.96%) | `18.750000` (+0.671%) | `5.687500` (+4.6%) | `1.054700` (-75.2%) |
| ka_vp2c | `12.605700` (bitwise) | `3.150940` (+1.17%) | `0.220590` (+16.1%) | `18.625000` (bitwise) | `3.718800` (-31.6%) | `1.460900` (-65.6%) |
| ka_vp2n | `12.605700` (bitwise) | `3.514970` (+12.9%) | `0.244630` (+28.8%) | `18.625000` (bitwise) | `6.031200` (+10.9%) | `1.195300` (-71.9%) |

# against dp1 accumulating like the pipeline
| cell | step 1 | step 10 | step 100 | step 1 | step 10 | step 100 (grad norm) |
|---|---|---|---|---|---|---|
| ka_dp1_ns | `12.605700` | `3.234660` | `0.180650` | `18.625000` | `4.843800` | `0.910200` |
| ka_pp2 | `12.605700` (bitwise) | `3.227050` (-0.235%) | `0.208850` (+15.6%) | `18.750000` (+0.671%) | `5.687500` (+17.4%) | `1.054700` (+15.9%) |
| ka_vp2c | `12.605700` (bitwise) | `3.150940` (-2.59%) | `0.220590` (+22.1%) | `18.625000` (bitwise) | `3.718800` (-23.2%) | `1.460900` (+60.5%) |
| ka_vp2n | `12.605700` (bitwise) | `3.514970` (+8.67%) | `0.244630` (+35.4%) | `18.625000` (bitwise) | `6.031200` (+24.5%) | `1.195300` (+31.3%) |
RUN-PP-KDANOAT-DONE
