dp1                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2                  7.70979 7.66901 7.57535 7.42618 7.18265 6.79439 6.01403 5.35497 5.21788 4.81907 
pp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
cp2                    7.71397 7.67019 7.57404 7.42368 7.21769 6.77190 6.05235 5.34220 4.97769 4.83167 
tp2                    FAIL (0/10) InternalError: Failed to set the allowed dynamic shared memory size to 1081
fsdp2_tp2_pp2          7.71698 7.66413 7.58021 7.42847 7.19728 6.82703 6.06958 5.35870 5.19736 4.77985 
fsdp2_tp2_cp2          7.70473 7.65969 7.56952 7.42209 7.17356 6.79088 6.00502 5.35189 5.23022 4.81750 
tp2_pp2_cp2            7.71097 7.67174 7.58004 7.43434 7.22880 6.79986 6.09373 5.34014 4.95100 4.79377 
fsdp2_pp2_cp2          7.71816 7.66841 7.57867 7.43291 7.19227 6.82734 6.05367 5.35162 5.18049 4.78147 
ep2_fsdp2              7.70979 7.66962 7.57713 7.42881 7.18281 6.80295 6.01880 5.35745 5.22091 4.82080 
ep2_fsdp2_tp2_pp2      7.71520 7.67125 7.57936 7.44051 7.19957 6.83336 6.09452 5.36973 5.20347 4.77568 
ep2_fsdp2_tp2_cp2      7.70863 7.66384 7.56486 7.41789 7.17210 6.79111 6.00702 5.34938 5.22296 4.81352 
ep2_fsdp2_pp2_cp2      7.71013 7.66532 7.57408 7.43691 7.19604 6.82317 6.05272 5.35036 5.18541 4.77545 
