step,pp_loss,fsdp_loss,abs_delta
1,5.954806,5.952717,0.002090
2,5.885870,5.910656,0.024786
3,5.622622,5.489314,0.133307
4,6.175193,6.017329,0.157864
5,5.509713,5.338779,0.170934
6,5.549960,5.565434,0.015473
7,5.320212,5.291716,0.028496
8,5.556149,5.427010,0.129140
9,5.078240,4.907689,0.170551
10,6.049995,6.003645,0.046350
11,5.269151,5.207144,0.062007
12,5.334900,5.246744,0.088156
13,5.695637,5.584644,0.110993
14,5.290390,5.137257,0.153134
15,5.655706,5.336062,0.319644
16,5.960315,5.739601,0.220714
17,5.491613,5.312850,0.178763
18,5.462577,5.278053,0.184524
19,5.216794,4.897389,0.319405
20,5.112470,4.866801,0.245669
21,5.784803,5.447688,0.337115
22,5.264056,4.949133,0.314923
23,5.477052,5.103522,0.373530
24,4.874349,4.527391,0.346957
25,5.742565,5.520932,0.221632
26,5.500930,5.146356,0.354574
27,5.067036,4.724197,0.342838
28,5.512805,5.147757,0.365048
29,5.105709,4.724290,0.381419
30,5.020262,4.526461,0.493801
31,5.104585,4.704413,0.400172
32,5.327255,4.940910,0.386344
33,5.461593,5.122830,0.338762
34,4.849947,4.540874,0.309073
35,5.050511,4.703745,0.346766
36,5.418458,4.875816,0.542641
37,5.840254,5.455825,0.384429
38,4.745198,4.360566,0.384632
39,5.009227,4.581387,0.427840
40,5.365837,4.928916,0.436921
41,5.319586,4.995636,0.323950
42,5.185285,4.912100,0.273185
43,5.202527,4.683075,0.519452
44,4.992768,4.615483,0.377285
45,5.105536,4.639009,0.466527
46,5.303249,4.864426,0.438824
47,4.831377,4.404933,0.426444
48,4.991658,4.511631,0.480028
49,5.030659,4.623549,0.407109
50,4.674282,4.217132,0.457150
51,4.876907,4.592181,0.284726
52,4.932681,4.625110,0.307571
53,4.821985,4.408941,0.413043
54,5.211503,4.713706,0.497797
55,5.316445,4.900536,0.415909
56,4.782907,4.490958,0.291949
57,5.002241,4.538272,0.463969
58,5.071015,4.696360,0.374656
59,4.868222,4.570363,0.297859
60,4.859157,4.537550,0.321607
61,4.616055,4.355999,0.260056
62,4.844310,4.434985,0.409325
63,4.750115,4.389946,0.360169
64,4.870823,4.617783,0.253040
65,4.032685,3.746879,0.285807
66,4.484622,4.220961,0.263661
67,5.038665,4.682783,0.355882
68,4.738682,4.325349,0.413332
69,4.880279,4.634353,0.245925
70,5.338315,4.984876,0.353439
71,4.480213,4.197789,0.282424
72,5.137632,4.743701,0.393931
73,4.854765,4.578826,0.275939
74,4.598273,4.216212,0.382061
75,4.575596,4.129702,0.445894
76,4.679993,4.417801,0.262191
77,5.100484,4.712873,0.387610
78,5.022286,4.694158,0.328128
79,4.523888,4.202727,0.321160
80,4.927143,4.610656,0.316487
81,4.736255,4.393447,0.342807
82,4.757242,4.452202,0.305040
83,4.462750,4.120188,0.342562
84,4.958162,4.566967,0.391195
85,4.523854,4.170560,0.353293
86,4.674356,4.350089,0.324266
87,4.383256,3.975121,0.408135
88,4.724054,4.482768,0.241286
89,4.389404,4.042679,0.346725
90,4.785421,4.459458,0.325963
91,4.639914,4.271713,0.368201
92,4.760394,4.481420,0.278974
93,4.601290,4.312644,0.288646
94,4.666063,4.391497,0.274567
95,4.705110,4.305325,0.399786
96,4.541608,4.145562,0.396046
97,4.534781,4.153731,0.381049
98,4.660450,4.243605,0.416845
99,4.552183,4.065495,0.486688
100,4.573828,4.092530,0.481298
101,4.744701,4.503825,0.240876
102,5.232982,4.703268,0.529714
103,4.634155,4.258123,0.376032
104,4.656291,4.281829,0.374462
105,4.611713,4.366625,0.245089
106,4.641616,4.281241,0.360374
107,4.329659,4.018447,0.311211
