step,pp_loss,fsdp_loss,abs_delta
1,6.000006,6.002233,0.002227
2,5.768750,5.783210,0.014460
3,5.672566,5.627237,0.045329
4,5.511488,5.514136,0.002648
5,6.075976,6.010942,0.065034
6,5.269234,5.214951,0.054284
7,5.829076,5.866890,0.037815
8,5.251309,5.502967,0.251658
9,5.322108,5.376067,0.053959
10,4.974440,5.005455,0.031015
11,5.363703,5.391127,0.027424
12,4.938365,4.978065,0.039701
13,6.048404,6.088457,0.040053
14,5.107876,5.194739,0.086864
15,5.019054,5.154675,0.135622
16,5.143828,5.245893,0.102065
17,5.655631,5.745805,0.090174
18,4.933956,5.045144,0.111188
19,5.066780,5.127977,0.061197
20,5.214317,5.349152,0.134834
21,5.725607,5.920912,0.195305
22,5.073229,5.124595,0.051365
23,5.506528,5.547693,0.041165
24,4.934107,4.946863,0.012756
25,4.736115,4.653327,0.082787
26,4.714232,4.798878,0.084645
27,5.109256,5.222431,0.113175
28,5.354721,5.233567,0.121153
29,4.986479,5.042890,0.056411
30,5.125219,5.097108,0.028111
31,4.335123,4.307936,0.027187
32,4.572279,4.559449,0.012831
33,5.074845,5.122167,0.047322
34,5.398534,5.324600,0.073934
35,5.163690,5.006141,0.157549
36,4.614556,4.534665,0.079891
37,5.175601,5.133099,0.042502
38,5.035571,5.034423,0.001148
39,4.401163,4.359681,0.041482
40,4.276155,4.336897,0.060741
41,4.828102,4.837923,0.009820
42,4.566502,4.525095,0.041406
43,4.680654,4.689125,0.008471
44,5.300559,5.267523,0.033036
45,4.687323,4.672249,0.015074
46,4.474401,4.516864,0.042463
47,4.360810,4.356155,0.004654
48,4.955645,4.903907,0.051738
49,4.678410,4.565338,0.113071
50,5.294963,5.154558,0.140405
51,4.483121,4.362659,0.120462
52,4.428722,4.401394,0.027328
53,5.232522,5.169721,0.062801
54,4.869992,4.788370,0.081622
55,4.586156,4.600248,0.014092
56,5.092419,5.163966,0.071547
57,4.529890,4.380958,0.148932
58,4.636870,4.660350,0.023479
59,4.620955,4.608056,0.012898
60,4.666333,4.674998,0.008665
61,5.019385,4.984419,0.034966
62,4.232755,4.176243,0.056512
63,4.643081,4.633283,0.009798
64,4.303176,4.217566,0.085610
65,4.936988,4.853364,0.083624
66,3.977561,3.917593,0.059968
67,4.519197,4.450293,0.068904
68,4.524903,4.436347,0.088556
69,4.706733,4.718286,0.011553
70,4.088619,4.045138,0.043481
71,5.076554,4.942957,0.133597
72,4.471109,4.336054,0.135055
73,5.169372,5.082416,0.086956
74,4.337768,4.333830,0.003938
75,4.413519,4.452605,0.039086
76,4.588449,4.448606,0.139843
77,4.788060,4.723084,0.064976
78,4.352906,4.376090,0.023184
79,4.241989,4.209481,0.032508
80,4.827597,4.757334,0.070263
81,4.299507,4.278776,0.020731
82,4.260561,4.203919,0.056642
83,4.409340,4.327873,0.081468
84,4.392466,4.367605,0.024861
85,4.728239,4.691387,0.036852
86,3.999636,4.011207,0.011571
87,3.621518,3.546987,0.074532
88,4.329172,4.242183,0.086989
89,4.615606,4.588056,0.027551
90,4.554965,4.568326,0.013361
91,4.690835,4.616481,0.074355
92,4.295845,4.306134,0.010290
93,4.770593,4.723102,0.047491
94,4.541398,4.525211,0.016187
95,4.572293,4.615987,0.043694
96,4.676681,4.609560,0.067122
97,4.717546,4.659944,0.057603
98,4.050017,4.064816,0.014800
99,4.197086,4.106047,0.091039
100,4.383450,4.267591,0.115860
101,4.528563,4.479347,0.049215
102,4.701811,4.743205,0.041394
103,4.527751,4.506330,0.021421
104,4.492755,4.574316,0.081561
105,4.156125,4.133708,0.022417
106,4.493676,4.512852,0.019176
107,4.581121,4.527166,0.053955
108,4.380380,4.334519,0.045861
109,4.444151,4.413556,0.030595
110,4.241810,4.269903,0.028093
111,4.269909,4.178009,0.091900
112,4.453326,4.468477,0.015151
113,4.199789,4.187709,0.012079
114,4.175849,4.164310,0.011539
115,4.415427,4.446729,0.031302
116,3.866160,3.868947,0.002787
117,4.328976,4.275947,0.053029
118,4.528756,4.585788,0.057032
119,4.123326,4.144291,0.020965
120,4.324059,4.292525,0.031533
121,4.320032,4.284528,0.035503
122,4.253574,4.156193,0.097381
123,4.385857,4.317186,0.068671
124,4.486731,4.501592,0.014861
125,4.484431,4.567225,0.082793
126,4.467051,4.437109,0.029941
127,3.947822,3.923910,0.023912
128,4.167512,4.086562,0.080950
129,4.128590,4.139653,0.011064
130,4.376709,4.345775,0.030935
131,4.044618,4.036435,0.008183
132,3.997838,3.994582,0.003256
133,4.364597,4.334532,0.030066
134,4.373464,4.357290,0.016173
135,4.151653,4.119231,0.032422
136,4.848936,4.841435,0.007501
137,4.386140,4.305217,0.080923
138,4.109051,4.106291,0.002760
139,4.123816,4.123849,0.000034
140,4.454105,4.462736,0.008631
141,4.158696,4.170676,0.011981
142,4.135240,4.141733,0.006494
143,4.203623,4.208269,0.004646
144,4.282583,4.214840,0.067743
145,4.043077,4.008253,0.034824
146,4.046295,4.039470,0.006825
147,4.521923,4.456707,0.065216
148,4.229245,4.248065,0.018819
149,4.268955,4.179451,0.089505
150,4.039604,4.049876,0.010272
151,4.634139,4.626004,0.008135
152,3.652516,3.677822,0.025306
153,4.672422,4.724310,0.051888
154,4.029545,3.953091,0.076454
155,4.486866,4.477245,0.009621
156,3.766349,3.747336,0.019013
157,4.451987,4.450204,0.001783
158,4.288755,4.317638,0.028883
159,4.070951,4.034491,0.036460
160,3.985712,3.961184,0.024529
161,4.010304,3.920945,0.089359
162,3.996627,3.987820,0.008807
163,4.283409,4.257280,0.026129
164,4.256517,4.293719,0.037202
165,4.229041,4.230682,0.001641
166,3.800958,3.808109,0.007151
167,4.396320,4.444041,0.047721
168,4.400367,4.448540,0.048173
