step,pp_loss,fsdp_loss,abs_delta
1,6.000006,6.000006,0.000000
2,5.768750,5.768672,0.000078
3,5.672566,5.671797,0.000769
4,5.511488,5.518894,0.007406
5,6.075976,6.067684,0.008293
6,5.269234,5.252513,0.016721
7,5.829076,5.803588,0.025487
8,5.251309,5.260996,0.009687
9,5.322108,5.307977,0.014131
10,4.974440,4.990702,0.016262
11,5.363703,5.321306,0.042397
12,4.938365,4.885017,0.053348
13,6.048404,6.000015,0.048388
14,5.107876,5.112957,0.005081
15,5.019054,4.984641,0.034413
16,5.143828,5.088918,0.054911
17,5.655631,5.638036,0.017595
18,4.933956,4.921548,0.012408
19,5.066780,4.977623,0.089157
20,5.214317,5.135278,0.079040
21,5.725607,5.672877,0.052730
22,5.073229,5.021033,0.052196
23,5.506528,5.465338,0.041190
24,4.934107,4.846898,0.087209
25,4.736115,4.644269,0.091845
26,4.714232,4.645540,0.068693
27,5.109256,5.102906,0.006351
28,5.354721,5.366375,0.011655
29,4.986479,4.958159,0.028319
30,5.125219,5.103862,0.021357
31,4.335123,4.307084,0.028039
32,4.572279,4.563296,0.008983
33,5.074845,5.009300,0.065545
34,5.398534,5.356039,0.042495
35,5.163690,5.121024,0.042665
36,4.614556,4.565265,0.049291
37,5.175601,5.122022,0.053579
38,5.035571,5.043777,0.008205
39,4.401163,4.392974,0.008189
40,4.276155,4.286621,0.010465
41,4.828102,4.817513,0.010590
42,4.566502,4.565998,0.000504
43,4.680654,4.725032,0.044378
44,5.300559,5.319609,0.019050
45,4.687323,4.685605,0.001718
46,4.474401,4.481483,0.007082
47,4.360810,4.378391,0.017581
48,4.955645,4.949720,0.005925
49,4.678410,4.659603,0.018807
50,5.294963,5.238514,0.056449
51,4.483121,4.464281,0.018840
52,4.428722,4.446615,0.017893
53,5.232522,5.208210,0.024312
54,4.869992,4.839329,0.030663
55,4.586156,4.588426,0.002269
56,5.092419,5.081372,0.011046
57,4.529890,4.503132,0.026758
58,4.636870,4.655503,0.018632
59,4.620955,4.615313,0.005642
60,4.666333,4.642749,0.023584
61,5.019385,5.042953,0.023568
62,4.232755,4.203001,0.029753
63,4.643081,4.663033,0.019952
64,4.303176,4.351573,0.048397
65,4.936988,4.931748,0.005239
66,3.977561,3.976986,0.000575
67,4.519197,4.531349,0.012153
68,4.524903,4.493907,0.030995
