step,pp_loss,fsdp_loss,abs_delta
1,5.955584,5.952717,0.002867
2,5.830567,5.910656,0.080089
3,5.532528,5.489314,0.043214
4,6.032269,6.017329,0.014941
5,5.329112,5.338779,0.009667
6,5.517041,5.565434,0.048392
7,5.213284,5.291716,0.078432
8,5.398938,5.427010,0.028071
9,4.865913,4.907689,0.041776
10,5.950212,6.003645,0.053432
11,5.074940,5.207144,0.132204
12,5.095870,5.246744,0.150874
13,5.514942,5.584644,0.069702
14,5.044155,5.137257,0.093102
15,5.171749,5.336062,0.164313
16,5.601309,5.739601,0.138292
17,5.228630,5.312850,0.084220
18,5.150525,5.278053,0.127528
19,4.815403,4.897389,0.081986
20,4.733167,4.866801,0.133635
21,5.472096,5.447688,0.024408
22,4.921543,4.949133,0.027590
23,5.003910,5.103522,0.099612
24,4.446836,4.527391,0.080555
25,5.429120,5.520932,0.091812
26,5.117189,5.146356,0.029167
27,4.661299,4.724197,0.062899
28,5.082288,5.147757,0.065469
29,4.627140,4.724290,0.097150
30,4.483411,4.526461,0.043049
31,4.650496,4.704413,0.053917
32,4.913435,4.940910,0.027476
33,5.071258,5.122830,0.051572
34,4.488297,4.540874,0.052577
35,4.655046,4.703745,0.048699
36,4.846009,4.875816,0.029807
37,5.367395,5.455825,0.088429
38,4.316144,4.360566,0.044422
39,4.576180,4.581387,0.005207
40,4.948683,4.928916,0.019767
41,4.926898,4.995636,0.068738
42,4.866716,4.912100,0.045384
43,4.650308,4.683075,0.032767
44,4.566854,4.615483,0.048630
45,4.635360,4.639009,0.003649
46,4.849317,4.864426,0.015109
47,4.367179,4.404933,0.037754
48,4.507727,4.511631,0.003903
49,4.623448,4.623549,0.000102
50,4.169400,4.217132,0.047732
51,4.601933,4.592181,0.009752
52,4.640648,4.625110,0.015538
53,4.387764,4.408941,0.021177
54,4.713159,4.713706,0.000546
55,4.894560,4.900536,0.005976
56,4.487275,4.490958,0.003683
57,4.565196,4.538272,0.026924
58,4.709539,4.696360,0.013179
59,4.533013,4.570363,0.037350
60,4.540468,4.537550,0.002918
61,4.335967,4.355999,0.020031
62,4.436048,4.434985,0.001063
63,4.361217,4.389946,0.028728
64,4.635179,4.617783,0.017396
65,3.760585,3.746879,0.013707
66,4.226655,4.220961,0.005694
67,4.720559,4.682783,0.037776
68,4.306166,4.325349,0.019184
69,4.653189,4.634353,0.018836
70,4.960160,4.984876,0.024715
71,4.182364,4.197789,0.015426
72,4.757377,4.743701,0.013676
73,4.568507,4.578826,0.010319
74,4.225152,4.216212,0.008940
75,4.149317,4.129702,0.019615
76,4.411735,4.417801,0.006067
77,4.690714,4.712873,0.022160
78,4.710854,4.694158,0.016695
79,4.234974,4.202727,0.032247
80,4.570625,4.610656,0.040031
81,4.397297,4.393447,0.003850
82,4.435210,4.452202,0.016993
83,4.112360,4.120188,0.007828
84,4.561868,4.566967,0.005099
85,4.159538,4.170560,0.011022
86,4.363798,4.350089,0.013709
87,3.983834,3.975121,0.008713
88,4.493151,4.482768,0.010383
89,4.036125,4.042679,0.006554
90,4.485775,4.459458,0.026318
91,4.278695,4.271713,0.006982
92,4.444074,4.481420,0.037346
93,4.322618,4.312644,0.009974
94,4.385328,4.391497,0.006168
95,4.307985,4.305325,0.002661
96,4.159705,4.145562,0.014143
97,4.133986,4.153731,0.019746
98,4.219392,4.243605,0.024213
99,4.077851,4.065495,0.012356
100,4.122353,4.092530,0.029823
101,4.452099,4.503825,0.051726
102,4.676671,4.703268,0.026597
103,4.305951,4.258123,0.047828
104,4.239315,4.281829,0.042514
105,4.345348,4.366625,0.021276
106,4.318040,4.281241,0.036798
107,4.006291,4.018447,0.012156
108,4.311426,4.291952,0.019474
109,3.870786,3.868862,0.001924
110,4.428769,4.469051,0.040282
111,4.348248,4.364085,0.015836
112,4.110592,4.079553,0.031039
113,4.457384,4.445526,0.011858
114,3.891538,3.879933,0.011605
115,4.556649,4.558486,0.001837
116,4.373405,4.387524,0.014119
117,3.870046,3.805144,0.064902
118,4.391994,4.365580,0.026415
119,4.235139,4.255729,0.020590
120,3.978843,4.047767,0.068924
121,4.055499,4.076979,0.021480
122,3.978402,4.005211,0.026810
123,4.361950,4.365951,0.004001
124,4.042275,4.017098,0.025177
125,4.221312,4.192507,0.028805
126,4.392317,4.392457,0.000140
127,4.723529,4.692579,0.030950
128,3.995484,3.993063,0.002421
129,4.291484,4.312329,0.020845
130,4.416079,4.428584,0.012505
131,4.293971,4.319488,0.025517
132,4.337041,4.352083,0.015041
133,4.489522,4.531115,0.041593
134,3.701044,3.748896,0.047852
135,4.047978,4.114353,0.066375
136,3.772959,3.761022,0.011937
137,4.430574,4.386620,0.043954
